,Raw Job Description
167,"Do you want your voice heard and your actions to count? 

Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), one of the world’s leading financial groups. Across the globe, we’re 150,000 colleagues, striving to make a difference for every client, organization, and community we serve. We stand for our values, building long-term relationships, serving society, and fostering shared and sustainable growth for a better world.

With a vision to be the world’s most trusted financial group, it’s part of our culture to put people first, listen to new and diverse ideas and collaborate toward greater innovation, speed and agility. This means investing in talent, technologies, and tools that empower you to own your career.

Join MUFG, where being inspired is expected and making a meaningful impact is rewarded.

About the role:

MUFG has been consistently positioned as a top-tier global project finance bank. We are the only international bank consistently ranked within top 10 over the last 20 years globally. Project Finance International awarded MUFG: Global Project Finance Bank of The Year 2013, 2015, 2016, 2018, 2022, 2023 and Global Debt House of the Year 2024.

MUFG’s project finance team provides innovative financing solutions to the bank’s key clients across all stages of a project’s life cycle.

In your role as Analyst or Associate your primary responsibility will be to work with the wider Project Finance origination team to support lending, structuring, and advisory services to deliver optimal risk, revenue, and profit outcomes from each transaction.

What you’ll be doing:

Project Finance

- To assist MDs, Directors and VPs in marketing, securing and closing project financing transactions
- To assist in ensuring all transactions comply with MUFG’s credit and other policies
- To assist in all Project Finance credit matters including credit paper construction, modelling, negotiation of terms and condition, finalisation of documentation, review and/or arrangement of due diligence, satisfying CPs etc
- To assist in negotiation and documentation of terms and conditions of credit, security and all other documents related to the credit and services provided
- To contribute to the maintenance of positive relationships with project sponsors/borrowers/advisors/legal counsels/funds/bank customers and to materially contribute to MUFG profit
- To positively liaise with MUFG’s local and international networks including global project finance teams, credit divisions, and other key product partners and coverage stakeholders.
- To complete general administration matters within Project Finance including streamlining internal processes and driving efficiencies
- To manage deal information on various internal systems and associated internal deal processes
- To prepare or contribute to research papers including attending industry seminars and presentations

Submission of credit proposals and analysis

- To assist with credit paper preparation including associated forms and internal processes.
- To prepare other required approvals including pricing and management screening
- To prepare/review/analyse financial models and run sensitivities
- To assist with the review and analysis of due diligence and documentation

What we are looking for:

- Analyst 1+ year’s experience in project or structured finance at a major domestic or international
- Associate 3+ year’s experience in project or structured finance at a major domestic or international
- Undergraduate Business / Commerce / Law Degree from a leading university is essential
- Proficiency in the full suite of core Microsoft products, and will be strong in financial modelling
- Possess an understanding of financial and economic markets
- Be able to engage in independent research and analysis of customers and markets and apply critical thinking and a high level of attention to detail
- The ability to communicate clearly both in writing and verbally
- Has strong interpersonal and presentations skills
- Is a team player
- Is a self-starter who applies initiative and has drive and enthusiasm
- Has an analytical mindset and problem solving skills
- Has the ability to work independently and prioritise a number of tasks across various work streams and alongside a number of stakeholders

Our culture:

MUFG fosters a highly professional, supportive work environment that enables our employees to help maximize our customers' prosperity. We focus on building long-term customer relationships and giving back to our communities in order to develop shared and sustainable growth.

Mitsubishi UFJ Financial Group (MUFG) is an equal opportunity employer. We view our employees as our key assets as they are fundamental to our long-term growth and success. MUFG is committed to hiring based on merit and organsational fit, regardless of race, religion or gender."
168,"Your Function

An exciting new permanent opportunity within the ANZ DLL team has become available for a Credit Analyst (Commercial Finance) reporting to the Credit Manager – Corporate and Commercial Finance.

As the Credit Analyst (Commercial Finance), you will help organize, manage, and optimize the risk management, credit underwriting, and credit operational processes for the Commercial Finance Business Unit (“CF”).

Find out more here about how you can unleash your full potential at DLL.

Day to Day

- Undertake financial analysis and modelling.
- Support the ongoing financing needs of the clients, including temporary and seasonal overlines, changes to the limits
- Support the existing vendor finance programs and support new vendor onboarding
- Prepare credit submissions with sound recommendations and present to higher Credit decisioning authorities, including regional Credit Committees.
- Work with the commercial team on deal origination and structuring, where applicable.
- Decision transactions within delegated authority levels and in line with DLL’s risk appetite.
- Develop strong working relationships with all key stakeholders and actively promote risk culture within the organization.
- Provide expertise and oversight toward appropriate loan structuring and management.
- Contribute to documentation negotiations with customers

All members enjoy

- Two working days per year volunteering for a local charity.
- Health and Wellness program including healthy food, free health checks, fun health & vitality activities.
- Flexible hours with possibility to work from home
- Career development opportunities: online learning, member development programs.
- Click this link for an overview of all the benefits in your region.

“We not only live up to the expectations of our customers for today, but also anticipate their market needs of tomorrow.”

Your Profile

- Bachelor’s degree in accounting, finance, commerce or related field.
- Must have at least 2 years of relevant experience in the financial industry and in credit and risk management roles
- Must have knowledge of credit, business management processes, risk management, and risk policy
- Must have excellent analytical and reporting skills
- Must be a proven team player with a performance track record in matrix and/or network organizations.

Chose Wellbeing

DLL’s wellbeing ambition is to educate, equip, and empower members to build connections, manage their mental, emotional, physical, and financial wellness, and maintain balance between work and the other priorities that make up their lives.

Our Four Wellbeing Categories Are As Follows

- Connection – Build meaningful connections with other members
- Health – Manage mental, emotional, and physical health 
- Finance – Provide learning opportunities to help members achieve personal financial health
- Lifestyle – Maintain balance between work and life priorities

These are the things that matter to our members and the wellbeing of our members matters to DLL!

Settling In

At DLL, we are many things. We are team members, family members, community member. We are members of society, members of different cultures and nationalities. Members of change. We each have different beliefs, different passions, different viewpoints, talents and interests. We come from different backgrounds, cultures, nationalities and histories.

But for all of our differences, we share one thing in common: each of us are members of DLL.

Our company was founded in the Netherlands. But today we are truly a multinational business. Our unique culture is rooted in higher collaboration, less hierarchy and a honest directness that enable us to integrate, ideate and innovate across country lines.

Many companies say they are European, American, Asian or Australian, at DLL we are all these places and more.

We are a cross-culture collaborative – an interconnected network – that comes together every single day with one goal in mind: Partnering for a better world.

Good to know

- The selection process may involve an assessment
- Applications via email will not be reviewed. Please apply online via our career website
- DLL’s referral program applies
- For more information, you can contact Indie Bayliss, Talent Acquisition Partner via indie.bayliss@dllgroup.com 

DLL appreciates the time you spend applying to our openings. We advise only those who qualify for an interview will be contacted. Hiring subject to successful completion of a background check.

DLL is an equal opportunity employer. We are committed to inclusive, barrier-free recruitment and selection processes and work environments. If contacted for an employment opportunity, please advise Human Resources if you require accommodation in accordance with our values and all applicable legislation."
169,"About The Role

As an Analyst in Middle Office, you'll be an integral part of the team responsible for regulatory reporting of BOQ’s Liquidity and Interest Rate Risk in the Banking Book (IRRBB) exposures. Our team also manages the Asset Liability Management system (QRM), including model configuration and documentation. You'll work closely with the Manager, Treasury Middle Office, to develop reports that comply with BOQ policy and prudential regulators, ensuring all reporting is accurate and delivered on time as per regulatory requirements.

In this role, you'll be integral to daily liquidity and IRRBB reporting, as well as regulatory reporting of APS 117 and APS 210. You'll measure and monitor risk exposure against approved policies and risk appetite triggers and limits. Additionally, you'll handle daily data validation and system reconciliation to ensure data completeness and reporting accuracy.

Engaging with the broader Treasury, Market Risk, and Finance teams will be key to addressing data issues, identifying emerging risks, and ensuring they are appropriately configured in the reporting framework. Staying up to date with regulatory changes and capturing them in the reporting framework will also be part of your responsibilities.

You are part of the team that performs admin support for ALCO as needed and will build strong, productive working relationships with internal stakeholders across the Bank.

About You

To excel in this role, we're looking for someone with a blend of relevant experience and skills. Ideally, you have a background in Middle Office, Market Risk, Treasury, Financial Markets, or Product Control. A bachelor’s degree in Engineering, Finance, Mathematics, Economics, or a related field is essential. Experience in banking, finance, insurance and financial markets will be highly valued.

You should be proficient with spreadsheets, including macro and SQL writing abilities. Your quantitative, analytical, and problem-solving skills are crucial, as is your strong attention to detail, ensuring accuracy in all outputs. The ability to explain technical concepts to non-technical stakeholders is important, along with competent writing skills for system documentation. Additionally, good time management skills are essential to ensure that tasks are completed efficiently, and deadlines are met.

We need someone who takes ownership and works well in teams of their responsibilities and has sound product knowledge. Experience with Value at Risk and scenario analysis is a plus, as is a solid understanding of APRA requirements related to APS117 and/or APS210. Additionally, you should have a good grasp of key business drivers and success factors to interpret P&L based on risk factors.

Finally, the ability to navigate ambiguity and engage stakeholders effectively and develop creative, commercially viable solutions to business problems will set you apart. You'll be supported by an experienced team in a collaborative environment that values flexibility.

About Us

BOQ Group is a truly unique group of challenger brands with a purpose – to provide a genuine alternative to Australian financial services for customers and employees.

Our family of brands (Bank of Queensland (BOQ), ME Bank, Virgin Money Australia, BOQ Specialist), each come with their own defined customer audience and brand personality, but share one goal – to build social capital through banking. That’s creating trust with customers, exploring staff potential and believing that tiny gestures and big ideas can change the world for communities.

BOQ Group’s inclusive vision is to foster a workspace that values and leverages difference and creates new possibilities, a place where our people feel confident to bring their best selves to work every day. We embrace difference and believe that our workforce should reflect the customers and communities that we serve.

Since 2021, BOQ Group is recognised as an Employer of Choice for Gender Equality by the Workplace Gender Equality Agency (WGEA).

In 2023, we successfully implemented an innovative Reconciliation Plan, driving positive change and promoting inclusivity across BOQ Group.

Our Benefits

At BOQ Group, we are passionate about creating an exceptional work environment that nurtures both your professional and personal growth. Our comprehensive benefits package is designed to enhance your well-being, provide financial security, and foster a sense of community and inclusion. Here are just some of the fantastic perks you can enjoy as part of our team:

- Flexible working arrangement - Balance your work and personal life with ease.
- Discounted financial products - Enjoy exclusive rates on our financial services across the Group.
- Salary sacrificing options - Maximise your take-home pay with our salary packaging options.
- Paid parental leave with no minimum requirements - Spend quality time with your new family member without any worries.
- Purchase additional annual leave - Need more time off? You can buy extra leave days.
- Discounted private health insurance plan - Take care of your health with our special rates.
- Employee Assistance Program (EAP) - Access confidential support for personal and professional challenges for you and your family
- Access to employee network groups - Connect with peers through our First Nations Reconciliation, LGBTQIA+, Multicultural, Gender, Early Careers, and accessibility groups.
- Pride in Diversity membership: We are proud members of Pride in Diversity and actively participate in the Australian Workplace Equality Index.

We are committed to creating a workplace where everyone feels valued and supported. Join us and be part of a company that truly cares about its people and community!

How To Apply

To apply for this role at #boqgroup #groupfinance, follow the links or apply via our Careers Page.

BOQ Group is committed to diversity and an inclusive workforce. Aboriginal and Torres Strait Islander People are encouraged to apply.

We celebrate, value and include people of all backgrounds, gender and expressions, sexualities, cultures, bodies and abilities. When you apply, you are welcome to tell us the pronouns you use and please let us know any reasonable adjustments you may need during the interview process.

If you are successful for a role with BOQ Group, it is a condition of employment that background screening is completed to ensure that the Bank complies with its obligations under the Anti-Money Laundering and Counter Terrorism Financing Act. These checks may include, but are not limited to: identity, verification, reference checks, criminal background checks, immigration checks, verification of academic qualifications, bankruptcy checks.

Please no agency applications."
170,"Organisation/Entity: Transport For NSW

Job category: Projects

Job location:

Macquarie Park, NSW, AU, 2113

Job reference number: 102021

Employment type: Fixed Term Full-Time

Salary range: $121175.0-$135716.0

If you’re after impact, there’s no other organisation in Australia that delivers work on this scale.

Work in an organisation based on purpose, structure and process. You know that to make a meaningful contribution to our community and economy, there needs to be diligence in our operations.

In this role, you'll:

Be working within our Enterprise Security, Crisis and Emergency Management (ESCEM) branch, you will be working to help us maintain operational readiness for emergency management events such as bushfires, floods and heatwaves that may have an impact on NSW and the Transport Network.

Working as part of a close-knit team, you will support the ESCEM branch readiness capability, utilise state of the art platforms to understand impacts to Transport, and produce reports for a wide variety of stakeholders including Senior Leadership and Operational teams.

You will have an impact on the broader community and work at a scale that you won’t be able to find in many other workplaces, having a tangible impact during emergency events, and providing support across Transport and the broader State government to combat agencies and functional areas.

There are multiple temporary opportunities available ranging from up to 5 month to up to 12 month opportunities.

For more information on this position and business unit, view the role description and information pack

About You

You have a background in Policing, Intelligence or Security, and experience in operations or emergency management is desirable.

You are team player with strong verbal and written communication skills who can work under pressure in high-tempo environments with multiple competing priorities.

You are an effective verbal and written communicator who is able to work under pressure in stressful situations that may arise.

This role will periodically perform the roles of on call Transport Services Functional Area (TSFA) duty officer and Transport Liaison officer (TLO) as required. This on-call arrangement requires 24/7 availability when rostered for either role.

Who We Are

Transport for NSW provides a safe, integrated, and efficient transport system. We connect people, communities and industry every day.

Join us

Our workforce is as diverse as the community we serve. If you’d like further information on our inclusion and diversity initiatives, visit Transport careers.

We offer a wide range of employee benefits, like our award-winning flexible and hybrid work options.

This role is hybrid-friendly, meaning you can mix in-person days at your team’s home base location with remote days.

What are you waiting for…? Connect with us. Apply now!

Applications close: 11:59 pm, Sunday 5th October 2025

For more information about this role, please contact MAREN.STEED@TRANSPORT.NSW.GOV.AU.

Aboriginal people and people living with disability are supported throughout the recruitment process and at work, and we encourage you to apply. Visit Supporting Aboriginal people or Supporting people with disability for more info or speak to your talent team member to arrange any adjustments to how you interact with us.

Need some help with your application? Take a look at our application tips video series.

Job Segment:  Emergency Management, Intelligence Analyst, State Government, Temporary, Defense, Government, Contract"
171,"We deliver the best GIS solutions in the world, with the brightest minds on the map.
What are the issues that matter most to you? Climate change, national security, disaster response?
At Esri Australia you'll work with people at the forefront of these issues, connect them with the best tech and solutions and get an inside look into the real-world challenges that shape our future.
We turn problems into opportunities, and that takes two things:

- The most powerful GIS technology and solutions.
- Driven, talented, and passionately curious people.
Here we connect them, and that’s how we achieve incredible things for communities, economies, and for your career. 
About the Role 
Our Service Desk Analyst supports our Information Technology Services team to deliver client centric guidance and management through exceptional stakeholder engagement. In this role you will be exposed to a wide and ever changing ITS landscape and is well suited to inquisitive minded professionals keen on developing quickly in their career.
Service Delivery is paramount to the IT Team, and you will be responsible for key tasks such as:

- Act as the Geospatial Group’s IT Services’ single point of contact for all user’s ensuring ownership is taken over all requests.
- Troubleshoot and complete assigned incidents and service requests following agreed procedures and priority allocated and ensure users remain informed about the status of requests by providing regular updates.
- Identify and escalate complex incidents to a senior IT Services staff member and assist with managing user updates and completing escalated incidents.
- Manage asset inventories to ensure service requests can be fulfilled on time. This includes ensuring laptops are configured and updated, ready for deployment.
- Work with vendors to procure hardware and services by requesting quotes and raising purchase requisitions for approval.

About You 
We are looking for an experienced, resilient professional, for our Service Desk Analyst role. You will demonstrate aptitude for continuous learning and development and a positive attitude.

- Tertiary qualification in an associated business discipline (Information Technology, Computer Science etc.) is required.
- Demonstrated excellent customer service skills and able to interact effectively with all levels of the business with varying levels of IT knowledge.
- Demonstrated fault diagnosis, dispute resolution, troubleshooting and problem-solving skills.
- Experience in IT systems and technology, including IT hardware and software such as ITSM tools, Microsoft Online Applications – Microsoft 365, Teams Online, SharePoint Online, Microsoft Office Suite, etc.
- Excellent written and verbal communication skills with strong interpersonal / client engagement skills.
- Strong attention to detail and accuracy when accomplishing a task, including excellent follow through and follow up skills.
- You must hold current permanent and full-time working rights in Australia.
- Attitude and behaviour align with Esri Australia’s core values.
- Please note you will be required to provide a current and satisfactory AFP National Police Check certificate prior to commencing employment. 
Discover how our values shape our impact, your journey begins with one click here: Our people
For further details or if you have any questions, please contact our Talent Acquisition team on 1300 635 196 or email careers@esriaustralia.com.au.
We are a 2025 Circle Back Initiative Employer – we commit to respond to every applicant.
Please note that Esri Australia does not accept unsolicited resumes from recruiters or employment agencies."
172,"Rockwell Automation is a global technology leader focused on helping the world’s manufacturers be more productive, sustainable, and agile. With more than 28,000 employees who make the world better every day, we know we have something special. Behind our customers - amazing companies that help feed the world, provide life-saving medicine on a global scale, and focus on clean water and green mobility - our people are energized problem solvers that take pride in how the work we do changes the world for the better.

We welcome all makers, forward thinkers, and problem solvers who are looking for a place to do their best work. And if that’s you we would love to have you join us!

Job Description

As an Associate Account Manager, you will be part of a dynamic sales team focused on delivering exceptional service and driving growth across a portfolio of clients and prospects. This role is designed as an entry point into a long-term sales career, with a structured internal training on Rockwell Automation’s products, processes, and customer engagement strategies.

Key Responsibilities

- Client Portfolio Management
- Manage a designated portfolio of existing clients and prospects, ensuring consistent engagement, service excellence, and relationship development.
- Business Development Identify and pursue new business opportunities within your territory. Collaborate with senior account managers to develop tailored solutions that meet client needs.
- Client Retention & Growth Maintain high levels of client satisfaction and retention through proactive communication, problem-solving, and value-driven service.
- Solution Selling Understand client businesses and their broader operational needs. Provide multi-faceted solutions using Rockwell’s product line to address those needs effectively.
- Product Expertise Develop and maintain full knowledge of Rockwell Automation’s products and applications to confidently present and position solutions.

Qualifications & Skills

- Tertiary qualification in Business, Engineering, or a related field (preferred but not essential)
- Strong interpersonal and communication skills
- Passion for technology and customer engagement
- Self-motivated with a growth mindset and willingness to learn
- Ability to work collaboratively in a team environment
- Prior experience in sales or customer service is advantageous

Career Path & Development

This role offers a clear pathway into senior account management and sales leadership roles. Through ongoing training, mentorship, and performance-based progression, successful candidates will have the opportunity to build a rewarding career within Rockwell Automation.

What We Offer

-  Comprehensive mindfulness programs with a premium membership to Calm
-  Volunteer Paid Time off available after 6 months of employment for eligible employees
-  Company volunteer and donation matching program
-  Employee Assistance Program
-  Personalized wellbeing programs through our OnTrack program
-  On-demand digital course library for professional development
-  ... and other local benefits!

At Rockwell Automation we are dedicated to building a diverse, inclusive and authentic workplace, so if you're excited about this role but your experience doesn't align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right person for this or other roles.

#LT-Hybrid #LT-CT1

Rockwell Automation’s hybrid policy aligns that employees are expected to work at a Rockwell location at least Mondays, Tuesdays, and Thursdays unless they have a business obligation out of the office."
173,"About The Role

As an Analyst in Middle Office, you'll be an integral part of the team responsible for regulatory reporting of BOQ’s Liquidity and Interest Rate Risk in the Banking Book (IRRBB) exposures. Our team also manages the Asset Liability Management system (QRM), including model configuration and documentation. You'll work closely with the Manager, Treasury Middle Office, to develop reports that comply with BOQ policy and prudential regulators, ensuring all reporting is accurate and delivered on time as per regulatory requirements.

In this role, you'll be integral to daily liquidity and IRRBB reporting, as well as regulatory reporting of APS 117 and APS 210. You'll measure and monitor risk exposure against approved policies and risk appetite triggers and limits. Additionally, you'll handle daily data validation and system reconciliation to ensure data completeness and reporting accuracy.

Engaging with the broader Treasury, Market Risk, and Finance teams will be key to addressing data issues, identifying emerging risks, and ensuring they are appropriately configured in the reporting framework. Staying up to date with regulatory changes and capturing them in the reporting framework will also be part of your responsibilities.

You are part of the team that performs admin support for ALCO as needed and will build strong, productive working relationships with internal stakeholders across the Bank.

About You

To excel in this role, we're looking for someone with a blend of relevant experience and skills. Ideally, you have a background in Middle Office, Market Risk, Treasury, Financial Markets, or Product Control. A bachelor’s degree in Engineering, Finance, Mathematics, Economics, or a related field is essential. Experience in banking, finance, insurance and financial markets will be highly valued.

You should be proficient with spreadsheets, including macro and SQL writing abilities. Your quantitative, analytical, and problem-solving skills are crucial, as is your strong attention to detail, ensuring accuracy in all outputs. The ability to explain technical concepts to non-technical stakeholders is important, along with competent writing skills for system documentation. Additionally, good time management skills are essential to ensure that tasks are completed efficiently, and deadlines are met.

We need someone who takes ownership and works well in teams of their responsibilities and has sound product knowledge. Experience with Value at Risk and scenario analysis is a plus, as is a solid understanding of APRA requirements related to APS117 and/or APS210. Additionally, you should have a good grasp of key business drivers and success factors to interpret P&L based on risk factors.

Finally, the ability to navigate ambiguity and engage stakeholders effectively and develop creative, commercially viable solutions to business problems will set you apart. You'll be supported by an experienced team in a collaborative environment that values flexibility.

About Us

BOQ Group is a truly unique group of challenger brands with a purpose – to provide a genuine alternative to Australian financial services for customers and employees.

Our family of brands (Bank of Queensland (BOQ), ME Bank, Virgin Money Australia, BOQ Specialist), each come with their own defined customer audience and brand personality, but share one goal – to build social capital through banking. That’s creating trust with customers, exploring staff potential and believing that tiny gestures and big ideas can change the world for communities.

BOQ Group’s inclusive vision is to foster a workspace that values and leverages difference and creates new possibilities, a place where our people feel confident to bring their best selves to work every day. We embrace difference and believe that our workforce should reflect the customers and communities that we serve.

Since 2021, BOQ Group is recognised as an Employer of Choice for Gender Equality by the Workplace Gender Equality Agency (WGEA).

In 2023, we successfully implemented an innovative Reconciliation Plan, driving positive change and promoting inclusivity across BOQ Group.

Our Benefits

At BOQ Group, we are passionate about creating an exceptional work environment that nurtures both your professional and personal growth. Our comprehensive benefits package is designed to enhance your well-being, provide financial security, and foster a sense of community and inclusion. Here are just some of the fantastic perks you can enjoy as part of our team:

- Flexible working arrangement - Balance your work and personal life with ease.
- Discounted financial products - Enjoy exclusive rates on our financial services across the Group.
- Salary sacrificing options - Maximise your take-home pay with our salary packaging options.
- Paid parental leave with no minimum requirements - Spend quality time with your new family member without any worries.
- Purchase additional annual leave - Need more time off? You can buy extra leave days.
- Discounted private health insurance plan - Take care of your health with our special rates.
- Employee Assistance Program (EAP) - Access confidential support for personal and professional challenges for you and your family
- Access to employee network groups - Connect with peers through our First Nations Reconciliation, LGBTQIA+, Multicultural, Gender, Early Careers, and accessibility groups.
- Pride in Diversity membership: We are proud members of Pride in Diversity and actively participate in the Australian Workplace Equality Index.

We are committed to creating a workplace where everyone feels valued and supported. Join us and be part of a company that truly cares about its people and community!

How To Apply

To apply for this role at #boqgroup #groupfinance, follow the links or apply via our Careers Page.

BOQ Group is committed to diversity and an inclusive workforce. Aboriginal and Torres Strait Islander People are encouraged to apply.

We celebrate, value and include people of all backgrounds, gender and expressions, sexualities, cultures, bodies and abilities. When you apply, you are welcome to tell us the pronouns you use and please let us know any reasonable adjustments you may need during the interview process.

If you are successful for a role with BOQ Group, it is a condition of employment that background screening is completed to ensure that the Bank complies with its obligations under the Anti-Money Laundering and Counter Terrorism Financing Act. These checks may include, but are not limited to: identity, verification, reference checks, criminal background checks, immigration checks, verification of academic qualifications, bankruptcy checks.

Please no agency applications."
174,"Have you recently finished your university studies and are not sure where to start?
What’s in it for you?Join a local company with a global presence that has a strong focus on career progression, with runs on the board to demonstrate this.
In this contract hybrid role based out of Newcastle, you will travel into the office a couple of days per week.

What you’ll be doing:In this hybrid role based in Newcastle, you will contribute to a game-changing product used by millions of customers worldwide. You will work within a team of engineers, helping customers with various complex applications, whilst handling communication over phone, email and Microsoft Teams.
Your new role will be responsible for tackling complex technical client inquiries and application support issues, while ensuring the accurate and timely triage of tickets in Jira Service Desk and their customer portal. You will collaborate regularly with internal software teams to resolve complex inquiries, ensuring that customer issues are addressed efficiently and effectively.

Experience required:You will have recently finished your university studies in Information Technology, Computer Science or Software Engineering and will be based in the Newcastle region. You will be willing to start in a more application support role, which will allow you to gain a deeper understanding of the product and eventually transition into a software development or implementation consultant role.
We are also willing to consider individuals who have previously held application support roles, providing support to companies around the world.
You will need to have strong communication skills, as you will be in regular contact with customers. 
As this role is based in Newcastle, you will need to be within a commutable distance to travel into the office a couple of days per week.

About the company:You will be working for a market-leading product company used by customers all around the world. This role is with an organisation that offers career progression and growth, with many employees joining as graduates and advancing to senior-level positions.

What’s next?This role is being recruited by NewyTechPeople. All applicants will receive a response. The easiest way to register your interest is to apply using the link.
If you’d like to have a chat about the company, the role, the benefits and their big plans for the future, please contact Kyle Chapman at kyle@newytechpeople.com.au"
175,"Job Description

Investment Banking works on some of the most complex financial challenges and transactions in the market today. Whether advising on a merger, providing financial solutions for an acquisition, or structuring an initial public offering, we handle projects that help clients at major milestones. We work with corporations, pension funds, financial sponsors, and governments and are team of strong analytical thinkers, who have a passion for producing out-of-the-box ideas.

They work in developed and emerging markets worldwide to deliver banking services for a wide range of industries. Our team approach to client service enables our bankers to play an important role in building relationships and executing transactions. Classic Corporate Advisory bankers have expertise advising clients across industries, regions and products. Country Coverage works alongside teams are organized by industry group, including Consumer Retail Group, Financial Institutions Group, Financial and Strategic Investors Group, Healthcare, Industrials, Natural Resources, Real Estate, and Technology, Media and Telecom, as well as by product groups.

Our Consumer, Retail, Healthcare, TMT and Industrials (CRHTMTIND) team is looking for an Analyst / Associate to join us in Sydney.

Required Qualifications

- Bachelor’s degree 
- 1-5 years of prior work experience in a relevant field
- An interest in the consumer, retail, healthcare, industrials or technology and telecommunication sectors
- Proficient to advanced skills with MS Office (Excel, PowerPoint, Word, Outlook)
- Highly organized with exceptional attention to detail and follow-through
- Strong ability to manage multiple projects with competing deadlines
- Team player with positive attitude and strong work ethic
- Ability to work in a fast-paced environment 
- Ability to adapt quickly to a variety of industries and businesses
- Ability to self-direct, analyze and evaluate and form independent judgments
- Ability to effectively interact and build relationships with senior management and global stakeholders 
- Commercially savvy with ability to exercise discretion with respect to highly confidential/sensitive information
- Integrity, ethical standards and sound judgment"
176,"The Opportunity

The Electricity Retail Pricing Analyst is responsible for managing daily customer tenders, data

analysis and processing, and generating pricing for retail customers in line with pricing and

risk management strategies to ensure competitive pricing in the electricity market

This is a permanent full-time role which is based in Newcastle, 2300.

What's On Offer

-  Flexible working environment including working from home 
-  Broad role with diverse responsibilities and opportunities for growth across multiple areas in finance 
-  Supportive, fun, energetic and close knit team 
-  Plenty of training from the rest of the team 
-  Opportunity to be a part of major goals for a rapidly growing line of business within a large stable corporation 
-  Genuine career development opportunities 

What You'll Be Responsible For

Data Cleansing and Storage:

Ensure the accuracy and integrity of customer volume and pricing data through regular cleansing and organised storage practices for efficient data access and utilisation.

Generate Pricing For Customers

Develop and implement competitive retail pricing structures for retail customers based on their load profile as well as the wholesale market conditions.

Commercial Analysis

Perform thorough commercial analyses to assess pricing performance and market trends, providing actionable insights to support strategic pricing decisions.

What You'll Need To Be Successful

-  Advanced Excel experience 
-  Ability to sort through large amounts of data with a high attention to detail 
-  Degree in finance, statistics or related field (highly desirable) 

About Veolia

Veolia ANZ values employees and their health and wellbeing. All of our employees are entitled to:

- Employee share plan where employees have the opportunity to purchase discounted Veolia shares 
-  Employee Assistance Program (EAP) through Assure which covers mental health, nutrition, financial, legal, coaching and career transition support 
-  Bupa health insurance discount 
-  You will also have access to corporate discounts, Fitness Passport, as well as eligibility to volunteer at one of Veolia's partnered volunteer organisations 

At Veolia we value diversity, equality and inclusion, we are committed to providing working environments where everyone is included and treated fairly and with respect.

Veterans are encouraged to visit our Veterans at Veolia webpage to discover what we can offer: https://www.veolia.com/anz/veterans-veolia

We encourage people of Aboriginal and Torres Strait Islander descent and people from diverse backgrounds to apply.

Our environmental solutions help customers preserve and renew our natural resources, creating a better future for our planet. Here, you’ll have the opportunity to build your career, and a more sustainable world."
